,,,Value,Symbol
Viet Nam,Fresh groundwater withdrawal,5,1.402,I
Viet Nam,Total freshwater withdrawal,11,81.862,I
Yemen,Fresh surface water withdrawal,2,1.0397916667,I
Yemen,Fresh groundwater withdrawal,7,2.5252083333,I
Yemen,Total freshwater withdrawal,13,3.565,I
Zambia,Fresh surface water withdrawal,3,1.5117115054,I
Zambia,Fresh groundwater withdrawal,9,0.0602884946,I
Zambia,Total freshwater withdrawal,14,1.572,I
Zimbabwe,Fresh surface water withdrawal,2,2.7331591855,I
Zimbabwe,Fresh groundwater withdrawal,6,0.7279033145,I
Zimbabwe,Total freshwater withdrawal,11,3.460625,I
