,,Value,Symbol
Harvested irrigated temporary crop area: Maize,Ethiopia,86.86,E
Harvested irrigated temporary crop area: Sorghum,Ethiopia,17.37,E
Harvested irrigated temporary crop area: Other cereals,Ethiopia,2.895,E
Harvested irrigated temporary crop area: Potatoes,Ethiopia,37.64,E
Harvested irrigated temporary crop area: Sweet potatoes,Ethiopia,11.7,E
Harvested irrigated temporary crop area: Other roots and tubers,Ethiopia,2.895,E
Harvested irrigated temporary crop area: Sugarcane,Ethiopia,27.2,E
Harvested irrigated temporary crop area: Leguminous crops,Ethiopia,8.686,E
Harvested irrigated temporary crop area: Vegetables,Ethiopia,107.1,E
Harvested irrigated permanent crop area: Bananas,Ethiopia,5.828,E
Harvested irrigated permanent crop area: Citrus,Ethiopia,5.828,E
Harvested irrigated temporary crop area: Cotton,Ethiopia,57.91,E
Harvested irrigated temporary crop area: Groundnuts,Ethiopia,5.791,E
Harvested irrigated permanent crop area: Other crops,Ethiopia,3.885,E
Harvested irrigated temporary crop area: Wheat,France,50.4933333333,I
Harvested irrigated temporary crop area: Maize,France,792.8,I
Harvested irrigated temporary crop area: Other cereals,France,62.97,I
Harvested irrigated temporary crop area: Potatoes,France,56.8733333333,I
Harvested irrigated temporary crop area: Sugar beet,France,44.1,I
Harvested irrigated temporary crop area: Vegetables,France,140.875,I
Harvested irrigated permanent crop area: Citrus,France,2.2866666667,I
Harvested irrigated temporary crop area: Fodder,France,96.3266666667,I
Harvested irrigated temporary crop area: Soybeans,France,42.16,I
Harvested irrigated temporary crop area: Sunflower,France,12.8333333333,I
Harvested irrigated temporary crop area: Rice,Gabon,3.0,I
Harvested irrigated temporary crop area: Vegetables,Gabon,1.45,I
Harvested irrigated temporary crop area: Rice,Gambia,2.0,I
Harvested irrigated temporary crop area: Rice,Ghana,5.238,E
Harvested irrigated temporary crop area: Wheat,Greece,29.68,I
Harvested irrigated temporary crop area: Maize,Greece,202.4333333333,I
Harvested irrigated temporary crop area: Potatoes,Greece,19.5366666667,I
Harvested irrigated temporary crop area: Sugar beet,Greece,34.46,I
Harvested irrigated permanent crop area: Citrus,Greece,49.9933333333,I
Harvested irrigated temporary crop area: Fodder,Greece,30.29,I
Harvested irrigated temporary crop area: Soybeans,Greece,0.0666666667,I
Harvested irrigated temporary crop area: Sunflower,Greece,2.2233333333,I
Harvested irrigated permanent crop area: Other crops,Greece,88.4033333333,I
Harvested irrigated temporary crop area: Rice,Guinea,13.73,I
Harvested irrigated temporary crop area: Potatoes,Guinea,0.2,I
Harvested irrigated temporary crop area: Vegetables,Guinea,3.0,I
Harvested irrigated permanent crop area: Bananas,Guinea,0.96,I
Harvested irrigated permanent crop area: Rubber,Guinea,1.0,I
Harvested irrigated permanent crop area: Oil palm,Guinea,1.0,I
