,,Year,Value,Symbol
Harvested irrigated temporary crop area: Other crops,Algeria,2018,24.76,I
Harvested irrigated permanent crop area: Other crops,Algeria,1997,145.0,I
Harvested irrigated permanent crop area: Other crops,Algeria,2002,145.0,I
Harvested irrigated permanent crop area: Other crops,Algeria,2007,145.0,I
Harvested irrigated permanent crop area: Other crops,Algeria,2012,145.0,I
Harvested irrigated permanent crop area: Other crops,Algeria,2017,145.0,I
Harvested irrigated permanent crop area: Other crops,Algeria,2018,145.0,I
Harvested irrigated temporary crop area: Maize,Angola,2007,4.799,I
Harvested irrigated temporary crop area: Maize,Angola,2012,4.799,I
Harvested irrigated temporary crop area: Maize,Angola,2017,4.799,I
Harvested irrigated temporary crop area: Maize,Angola,2018,4.799,I
Harvested irrigated temporary crop area: Potatoes,Angola,2007,0.203,I
Harvested irrigated temporary crop area: Potatoes,Angola,2012,0.203,I
Harvested irrigated temporary crop area: Potatoes,Angola,2017,0.203,I
Harvested irrigated temporary crop area: Potatoes,Angola,2018,0.203,I
Harvested irrigated temporary crop area: Sweet potatoes,Angola,2007,0.786,I
Harvested irrigated temporary crop area: Sweet potatoes,Angola,2012,0.786,I
Harvested irrigated temporary crop area: Sweet potatoes,Angola,2017,0.786,I
Harvested irrigated temporary crop area: Sweet potatoes,Angola,2018,0.786,I
Harvested irrigated temporary crop area: Cassava,Angola,2007,0.322,I
Harvested irrigated temporary crop area: Cassava,Angola,2012,0.322,I
Harvested irrigated temporary crop area: Cassava,Angola,2017,0.322,I
Harvested irrigated temporary crop area: Cassava,Angola,2018,0.322,I
Harvested irrigated temporary crop area: Sugarcane,Angola,1997,12.5,I
Harvested irrigated temporary crop area: Sugarcane,Angola,2002,12.5,I
Harvested irrigated temporary crop area: Sugarcane,Angola,2007,12.5,I
Harvested irrigated temporary crop area: Sugarcane,Angola,2012,12.5,I
Harvested irrigated temporary crop area: Sugarcane,Angola,2017,12.5,I
Harvested irrigated temporary crop area: Sugarcane,Angola,2018,12.5,I
Harvested irrigated temporary crop area: Leguminous crops,Angola,2007,1.14,I
Harvested irrigated temporary crop area: Leguminous crops,Angola,2012,1.14,I
Harvested irrigated temporary crop area: Leguminous crops,Angola,2017,1.14,I
Harvested irrigated temporary crop area: Leguminous crops,Angola,2018,1.14,I
Harvested irrigated temporary crop area: Vegetables,Angola,2007,2.695,I
Harvested irrigated temporary crop area: Vegetables,Angola,2012,2.695,I
Harvested irrigated temporary crop area: Vegetables,Angola,2017,2.695,I
Harvested irrigated temporary crop area: Vegetables,Angola,2018,2.695,I
Harvested irrigated permanent crop area: Bananas,Angola,1997,7.7,I
Harvested irrigated permanent crop area: Bananas,Angola,2002,7.7,I
Harvested irrigated permanent crop area: Bananas,Angola,2007,7.7,I
Harvested irrigated permanent crop area: Bananas,Angola,2012,7.7,I
Harvested irrigated permanent crop area: Bananas,Angola,2017,7.7,I
Harvested irrigated permanent crop area: Bananas,Angola,2018,7.7,I
Harvested irrigated permanent crop area: Citrus,Angola,1997,3.5,I
Harvested irrigated permanent crop area: Citrus,Angola,2002,3.5,I
Harvested irrigated permanent crop area: Citrus,Angola,2007,3.5,I
Harvested irrigated permanent crop area: Citrus,Angola,2012,3.5,I
Harvested irrigated permanent crop area: Citrus,Angola,2017,3.5,I
Harvested irrigated permanent crop area: Citrus,Angola,2018,3.5,I
Harvested irrigated temporary crop area: Tobacco,Angola,1997,9.1,I
Harvested irrigated temporary crop area: Tobacco,Angola,2002,9.1,I
Harvested irrigated temporary crop area: Tobacco,Angola,2007,9.1,I
Harvested irrigated temporary crop area: Tobacco,Angola,2012,9.1,I
Harvested irrigated temporary crop area: Tobacco,Angola,2017,9.1,I
Harvested irrigated temporary crop area: Tobacco,Angola,2018,9.1,I
Harvested irrigated temporary crop area: Groundnuts,Angola,2007,0.004,I
Harvested irrigated temporary crop area: Groundnuts,Angola,2012,0.004,I
Harvested irrigated temporary crop area: Groundnuts,Angola,2017,0.004,I
Harvested irrigated temporary crop area: Groundnuts,Angola,2018,0.004,I
Harvested irrigated temporary crop area: Other crops,Angola,2007,1.573,I
Harvested irrigated temporary crop area: Other crops,Angola,2012,1.573,I
Harvested irrigated temporary crop area: Other crops,Angola,2017,1.573,I
Harvested irrigated temporary crop area: Other crops,Angola,2018,1.573,I
Harvested irrigated permanent crop area: Other crops,Angola,1997,11.2,I
Harvested irrigated permanent crop area: Other crops,Angola,2002,11.2,I
Harvested irrigated permanent crop area: Other crops,Angola,2007,11.2,I
Harvested irrigated permanent crop area: Other crops,Angola,2012,11.2,I
Harvested irrigated permanent crop area: Other crops,Angola,2017,11.2,I
Harvested irrigated permanent crop area: Other crops,Angola,2018,11.2,I
Harvested irrigated temporary crop area: Vegetables,Antigua and Barbuda,1997,0.12,OF
Harvested irrigated temporary crop area: Vegetables,Antigua and Barbuda,2002,0.1680294118,I
Harvested irrigated temporary crop area: Vegetables,Antigua and Barbuda,2007,0.2160588235,I
Harvested irrigated temporary crop area: Vegetables,Antigua and Barbuda,2012,0.2640882353,I
Harvested irrigated temporary crop area: Vegetables,Antigua and Barbuda,2017,0.2833,I
Harvested irrigated temporary crop area: Vegetables,Antigua and Barbuda,2018,0.2833,I
Harvested irrigated temporary crop area: Other crops,Antigua and Barbuda,1997,0.01,OF
Harvested irrigated temporary crop area: Other crops,Antigua and Barbuda,2002,0.01,I
Harvested irrigated temporary crop area: Other crops,Antigua and Barbuda,2007,0.01,I
Harvested irrigated temporary crop area: Other crops,Antigua and Barbuda,2012,0.01,I
Harvested irrigated temporary crop area: Other crops,Antigua and Barbuda,2017,0.01,I
Harvested irrigated temporary crop area: Other crops,Antigua and Barbuda,2018,0.01,I
Harvested irrigated temporary crop area: Wheat,Argentina,2012,60.0,I
Harvested irrigated temporary crop area: Wheat,Argentina,2017,60.0,I
Harvested irrigated temporary crop area: Wheat,Argentina,2018,60.0,I
Harvested irrigated temporary crop area: Rice,Argentina,1997,96.81,OF
Harvested irrigated temporary crop area: Rice,Argentina,2002,127.3509090909,I
Harvested irrigated temporary crop area: Rice,Argentina,2007,157.8918181818,I
Harvested irrigated temporary crop area: Rice,Argentina,2012,164.0,I
Harvested irrigated temporary crop area: Rice,Argentina,2017,164.0,I
Harvested irrigated temporary crop area: Rice,Argentina,2018,164.0,I
Harvested irrigated temporary crop area: Maize,Argentina,1997,171.2,OF
Harvested irrigated temporary crop area: Maize,Argentina,2002,183.3818181818,I
Harvested irrigated temporary crop area: Maize,Argentina,2007,195.5636363636,I
Harvested irrigated temporary crop area: Maize,Argentina,2012,198.0,I
Harvested irrigated temporary crop area: Maize,Argentina,2017,198.0,I
Harvested irrigated temporary crop area: Maize,Argentina,2018,198.0,I
Harvested irrigated temporary crop area: Sorghum,Argentina,2012,108.0,I
Harvested irrigated temporary crop area: Sorghum,Argentina,2017,108.0,I
Harvested irrigated temporary crop area: Sorghum,Argentina,2018,108.0,I
Harvested irrigated temporary crop area: Potatoes,Argentina,2012,29.0,I
Harvested irrigated temporary crop area: Potatoes,Argentina,2017,29.0,I
Harvested irrigated temporary crop area: Potatoes,Argentina,2018,29.0,I
Harvested irrigated temporary crop area: Other roots and tubers,Argentina,1997,162.9,OF
Harvested irrigated temporary crop area: Other roots and tubers,Argentina,2002,162.9,I
Harvested irrigated temporary crop area: Other roots and tubers,Argentina,2007,162.9,I
Harvested irrigated temporary crop area: Other roots and tubers,Argentina,2012,162.9,I
Harvested irrigated temporary crop area: Other roots and tubers,Argentina,2017,162.9,I
Harvested irrigated temporary crop area: Other roots and tubers,Argentina,2018,162.9,I
Harvested irrigated temporary crop area: Sugarcane,Argentina,1997,240.0,OF
Harvested irrigated temporary crop area: Sugarcane,Argentina,2002,242.7272727273,I
Harvested irrigated temporary crop area: Sugarcane,Argentina,2007,245.4545454545,I
Harvested irrigated temporary crop area: Sugarcane,Argentina,2012,246.0,I
Harvested irrigated temporary crop area: Sugarcane,Argentina,2017,246.0,I
Harvested irrigated temporary crop area: Sugarcane,Argentina,2018,246.0,I
Harvested irrigated temporary crop area: Leguminous crops,Argentina,2012,208.0,I
Harvested irrigated temporary crop area: Leguminous crops,Argentina,2017,208.0,I
Harvested irrigated temporary crop area: Leguminous crops,Argentina,2018,208.0,I
Harvested irrigated temporary crop area: Vegetables,Argentina,1997,261.8,OF
Harvested irrigated temporary crop area: Vegetables,Argentina,2002,284.6181818182,I
Harvested irrigated temporary crop area: Vegetables,Argentina,2007,307.4363636364,I
Harvested irrigated temporary crop area: Vegetables,Argentina,2012,312.0,I
