,,Year,Value,Symbol
Not treated municipal wastewater discharged (secondary water),Austria,2012,0.0007,I
Not treated municipal wastewater discharged (secondary water),Austria,2017,0.0007,I
Not treated municipal wastewater discharged (secondary water),Austria,2018,0.0007,I
Produced municipal wastewater,Azerbaijan,1997,0.5806,I
Produced municipal wastewater,Azerbaijan,2002,0.6296,I
Produced municipal wastewater,Azerbaijan,2007,0.659,I
Produced municipal wastewater,Azerbaijan,2012,0.659,I
Produced municipal wastewater,Azerbaijan,2017,0.659,I
Produced municipal wastewater,Azerbaijan,2018,0.659,I
Not treated municipal wastewater,Azerbaijan,1997,0.4714222222,I
Not treated municipal wastewater,Azerbaijan,2002,0.4880333333,I
Not treated municipal wastewater,Azerbaijan,2007,0.498,I
Not treated municipal wastewater,Azerbaijan,2012,0.498,I
Not treated municipal wastewater,Azerbaijan,2017,0.498,I
Not treated municipal wastewater,Azerbaijan,2018,0.498,I
Treated municipal wastewater,Azerbaijan,1997,0.1091777778,I
Treated municipal wastewater,Azerbaijan,2002,0.1415666667,I
Treated municipal wastewater,Azerbaijan,2007,0.161,I
Treated municipal wastewater,Azerbaijan,2012,0.161,I
Treated municipal wastewater,Azerbaijan,2017,0.161,I
Treated municipal wastewater,Azerbaijan,2018,0.161,I
Desalinated water produced,Bahamas,1997,0.0057363636,I
Desalinated water produced,Bahamas,2002,0.0074,I
Desalinated water produced,Bahamas,2007,0.0074,I
Desalinated water produced,Bahamas,2012,0.0074,I
Desalinated water produced,Bahamas,2017,0.0074,I
Desalinated water produced,Bahamas,2018,0.0074,I
Desalinated water produced,Bahrain,1997,0.0441,I
Desalinated water produced,Bahrain,2002,0.0829666667,I
Desalinated water produced,Bahrain,2007,0.1448727273,I
Desalinated water produced,Bahrain,2012,0.1979636364,I
Desalinated water produced,Bahrain,2017,0.2419,I
Desalinated water produced,Bahrain,2018,0.2419,I
Direct use of treated municipal wastewater,Bahrain,1997,0.01175,I
Direct use of treated municipal wastewater,Bahrain,2002,0.014875,I
Direct use of treated municipal wastewater,Bahrain,2007,0.0162142857,I
Direct use of treated municipal wastewater,Bahrain,2012,0.016,OF
Direct use of treated municipal wastewater,Bahrain,2017,0.0392,I
Direct use of treated municipal wastewater,Bahrain,2018,0.0392,I
Produced municipal wastewater,Bahrain,1997,0.084,OF
Produced municipal wastewater,Bahrain,2002,0.1079285714,I
Produced municipal wastewater,Bahrain,2007,0.1318571429,I
Produced municipal wastewater,Bahrain,2012,0.151,I
Produced municipal wastewater,Bahrain,2017,0.151,I
Produced municipal wastewater,Bahrain,2018,0.151,I
Collected municipal wastewater,Bahrain,2002,0.0765714286,I
Collected municipal wastewater,Bahrain,2007,0.0901428571,I
Collected municipal wastewater,Bahrain,2012,0.1168666667,I
Collected municipal wastewater,Bahrain,2017,0.1482,I
Collected municipal wastewater,Bahrain,2018,0.1482,I
Not treated municipal wastewater,Bahrain,2012,0.072,I
Not treated municipal wastewater,Bahrain,2017,0.072,I
Not treated municipal wastewater,Bahrain,2018,0.072,I
Treated municipal wastewater,Bahrain,1997,0.056,OF
Treated municipal wastewater,Bahrain,2002,0.0596875,I
Treated municipal wastewater,Bahrain,2007,0.0676,I
Treated municipal wastewater,Bahrain,2012,0.076,OF
Treated municipal wastewater,Bahrain,2017,0.1482,I
Treated municipal wastewater,Bahrain,2018,0.1482,I
Treated municipal wastewater discharged (secondary water),Bahrain,1997,0.0415272727,I
Treated municipal wastewater discharged (secondary water),Bahrain,2002,0.0440727273,I
Treated municipal wastewater discharged (secondary water),Bahrain,2007,0.0497142857,I
Treated municipal wastewater discharged (secondary water),Bahrain,2017,0.06,I
Treated municipal wastewater discharged (secondary water),Bahrain,2018,0.06,I
Produced municipal wastewater,Bangladesh,2002,0.725,I
Produced municipal wastewater,Bangladesh,2007,0.725,I
Produced municipal wastewater,Bangladesh,2012,0.725,I
Produced municipal wastewater,Bangladesh,2017,0.725,I
Produced municipal wastewater,Bangladesh,2018,0.725,I
Desalinated water produced,Barbados,2007,0.011,I
Desalinated water produced,Barbados,2012,0.011,I
Desalinated water produced,Barbados,2017,0.011,I
Desalinated water produced,Barbados,2018,0.011,I
Produced municipal wastewater,Barbados,1997,0.011,I
Produced municipal wastewater,Barbados,2002,0.011,I
Produced municipal wastewater,Barbados,2007,0.011,I
Produced municipal wastewater,Barbados,2012,0.011,I
Produced municipal wastewater,Barbados,2017,0.011,I
Produced municipal wastewater,Barbados,2018,0.011,I
Treated municipal wastewater,Barbados,2007,0.003,I
Treated municipal wastewater,Barbados,2012,0.003,I
Treated municipal wastewater,Barbados,2017,0.003,I
Treated municipal wastewater,Barbados,2018,0.003,I
Produced municipal wastewater,Belarus,1997,1.1724285714,I
Produced municipal wastewater,Belarus,2002,1.2778,I
Produced municipal wastewater,Belarus,2012,1.099,OF
Not treated municipal wastewater,Belarus,1997,0.111,I
Not treated municipal wastewater,Belarus,2002,0.111,I
Not treated municipal wastewater,Belarus,2007,0.111,I
Not treated municipal wastewater,Belarus,2012,0.111,I
Not treated municipal wastewater,Belarus,2017,0.111,I
Not treated municipal wastewater,Belarus,2018,0.111,I
Treated municipal wastewater,Belarus,1997,0.8825714286,I
Treated municipal wastewater,Belarus,2002,0.8682,I
Direct use of treated municipal wastewater,Belgium,2002,0.003,I
Direct use of treated municipal wastewater,Belgium,2007,0.003,I
Direct use of treated municipal wastewater,Belgium,2012,0.003,I
Direct use of treated municipal wastewater,Belgium,2017,0.003,I
Direct use of treated municipal wastewater,Belgium,2018,0.003,I
Produced municipal wastewater,Belgium,2007,0.944,OF
Produced municipal wastewater,Belgium,2012,0.879,X
Produced municipal wastewater,Belgium,2017,0.871,I
Produced municipal wastewater,Belgium,2018,0.871,I
Collected municipal wastewater,Belgium,2002,0.1501,I
Collected municipal wastewater,Belgium,2007,0.1501,I
Collected municipal wastewater,Belgium,2012,0.1501,I
Collected municipal wastewater,Belgium,2017,0.1501,I
Collected municipal wastewater,Belgium,2018,0.1501,I
Not treated municipal wastewater,Belgium,2002,0.0439,I
Not treated municipal wastewater,Belgium,2007,0.0439,I
Not treated municipal wastewater,Belgium,2012,0.0439,I
Not treated municipal wastewater,Belgium,2017,0.0439,I
Not treated municipal wastewater,Belgium,2018,0.0439,I
Produced municipal wastewater,Belize,1997,0.002,I
Produced municipal wastewater,Belize,2002,0.002,I
Produced municipal wastewater,Belize,2007,0.002,I
Produced municipal wastewater,Belize,2012,0.002,I
Produced municipal wastewater,Belize,2017,0.002,I
Produced municipal wastewater,Belize,2018,0.002,I
Produced municipal wastewater,Bhutan,2002,0.0039,I
Produced municipal wastewater,Bhutan,2007,0.0039,I
Produced municipal wastewater,Bhutan,2012,0.0039,I
Produced municipal wastewater,Bhutan,2017,0.0039,I
Produced municipal wastewater,Bhutan,2018,0.0039,I
Produced municipal wastewater,Bolivia (Plurinational State of),1997,0.1353555556,I
Produced municipal wastewater,Bolivia (Plurinational State of),2002,0.1423333333,I
Produced municipal wastewater,Bolivia (Plurinational State of),2007,0.157,I
Produced municipal wastewater,Bolivia (Plurinational State of),2012,0.157,I
Produced municipal wastewater,Bolivia (Plurinational State of),2017,0.157,I
Produced municipal wastewater,Bolivia (Plurinational State of),2018,0.157,I
Not treated municipal wastewater,Bolivia (Plurinational State of),1997,0.1022,I
Not treated municipal wastewater,Bolivia (Plurinational State of),2002,0.1022,I
Not treated municipal wastewater,Bolivia (Plurinational State of),2007,0.1022,I
Not treated municipal wastewater,Bolivia (Plurinational State of),2012,0.1022,I
Not treated municipal wastewater,Bolivia (Plurinational State of),2017,0.1022,I
Not treated municipal wastewater,Bolivia (Plurinational State of),2018,0.1022,I
Treated municipal wastewater,Bolivia (Plurinational State of),1997,0.0336,I
Treated municipal wastewater,Bolivia (Plurinational State of),2002,0.0336,I
Treated municipal wastewater,Bolivia (Plurinational State of),2007,0.0336,I
Treated municipal wastewater,Bolivia (Plurinational State of),2012,0.0336,I
Treated municipal wastewater,Bolivia (Plurinational State of),2017,0.0336,I
Treated municipal wastewater,Bolivia (Plurinational State of),2018,0.0336,I
Direct use of not treated municipal wastewater for irrigation purposes,Bolivia (Plurinational State of),2012,0.0157,I
Direct use of not treated municipal wastewater for irrigation purposes,Bolivia (Plurinational State of),2017,0.0157,I
Direct use of not treated municipal wastewater for irrigation purposes,Bolivia (Plurinational State of),2018,0.0157,I
Produced municipal wastewater,Bosnia and Herzegovina,2012,0.0656,OF
Produced municipal wastewater,Bosnia and Herzegovina,2017,0.0901,OF
Produced municipal wastewater,Bosnia and Herzegovina,2018,0.0844,OF
Collected municipal wastewater,Bosnia and Herzegovina,2017,0.104,I
Collected municipal wastewater,Bosnia and Herzegovina,2018,0.104,I
Not treated municipal wastewater,Bosnia and Herzegovina,2007,0.065,OF
Not treated municipal wastewater,Bosnia and Herzegovina,2012,0.0626,OF
Not treated municipal wastewater,Bosnia and Herzegovina,2017,0.0609,I
Not treated municipal wastewater,Bosnia and Herzegovina,2018,0.0609,I
Treated municipal wastewater,Bosnia and Herzegovina,2007,0.003,OF
Treated municipal wastewater,Bosnia and Herzegovina,2012,0.003,OF
Treated municipal wastewater,Bosnia and Herzegovina,2017,0.0484,OF
Treated municipal wastewater,Bosnia and Herzegovina,2018,0.0541,OF
Treated municipal wastewater discharged (secondary water),Bosnia and Herzegovina,2007,0.0029,OF
Treated municipal wastewater discharged (secondary water),Bosnia and Herzegovina,2012,0.003,OF
Treated municipal wastewater discharged (secondary water),Bosnia and Herzegovina,2017,0.0029,I
Treated municipal wastewater discharged (secondary water),Bosnia and Herzegovina,2018,0.0029,I
Not treated municipal wastewater discharged (secondary water),Bosnia and Herzegovina,2007,0.0651,OF
Not treated municipal wastewater discharged (secondary water),Bosnia and Herzegovina,2012,0.0626,OF
Not treated municipal wastewater discharged (secondary water),Bosnia and Herzegovina,2017,0.0609,I
Not treated municipal wastewater discharged (secondary water),Bosnia and Herzegovina,2018,0.0609,I
Produced municipal wastewater,Botswana,1997,0.011,I
Produced municipal wastewater,Botswana,2002,0.011,I
Produced municipal wastewater,Botswana,2007,0.011,I
Produced municipal wastewater,Botswana,2012,0.011,I
Produced municipal wastewater,Botswana,2017,0.011,I
Produced municipal wastewater,Botswana,2018,0.011,I
Treated municipal wastewater,Botswana,1997,0.0048,I
Treated municipal wastewater,Botswana,2002,0.008,I
Treated municipal wastewater,Botswana,2007,0.008,I
Treated municipal wastewater,Botswana,2012,0.008,I
Treated municipal wastewater,Botswana,2017,0.008,I
Treated municipal wastewater,Botswana,2018,0.008,I
Desalinated water produced,Brazil,1997,0.04,I
Desalinated water produced,Brazil,2002,0.04,I
Desalinated water produced,Brazil,2007,0.04,I
Desalinated water produced,Brazil,2012,0.04,I
Desalinated water produced,Brazil,2017,0.04,I
Desalinated water produced,Brazil,2018,0.04,I
Direct use of treated municipal wastewater,Brazil,2012,0.0295,I
Direct use of treated municipal wastewater,Brazil,2017,0.05,I
Direct use of treated municipal wastewater,Brazil,2018,0.05,I
Produced municipal wastewater,Brazil,1997,3.2833,I
Produced municipal wastewater,Brazil,2002,6.8648,I
Produced municipal wastewater,Brazil,2007,10.015,I
Not treated municipal wastewater,Brazil,1997,2.2358,I
Not treated municipal wastewater,Brazil,2002,5.0048,I
Not treated municipal wastewater,Brazil,2007,7.21,I
Not treated municipal wastewater,Brazil,2012,7.2,I
Not treated municipal wastewater,Brazil,2017,7.2,I
Not treated municipal wastewater,Brazil,2018,7.2,I
Treated municipal wastewater,Brazil,1997,0.9841777778,I
Treated municipal wastewater,Brazil,2002,1.4815666667,I
Treated municipal wastewater,Brazil,2007,2.805,I
Treated municipal wastewater discharged (secondary water),Brazil,2012,3.091,I
Treated municipal wastewater discharged (secondary water),Brazil,2017,3.091,I
Treated municipal wastewater discharged (secondary water),Brazil,2018,3.091,I
Produced municipal wastewater,Bulgaria,2002,0.486,OF
Produced municipal wastewater,Bulgaria,2007,0.503,OF
Produced municipal wastewater,Bulgaria,2012,0.447,OF
Direct use of treated municipal wastewater,Burkina Faso,2012,0.0013,I
Direct use of treated municipal wastewater,Burkina Faso,2017,0.0013,I
Direct use of treated municipal wastewater,Burkina Faso,2018,0.0013,I
Produced municipal wastewater,Burkina Faso,2012,0.0487,I
Produced municipal wastewater,Burkina Faso,2017,0.0487,I
Produced municipal wastewater,Burkina Faso,2018,0.0487,I
Collected municipal wastewater,Burkina Faso,2012,0.0024,I
Collected municipal wastewater,Burkina Faso,2017,0.0024,I
Collected municipal wastewater,Burkina Faso,2018,0.0024,I
Treated municipal wastewater,Burkina Faso,2012,0.0014,I
Treated municipal wastewater,Burkina Faso,2017,0.0014,I
Treated municipal wastewater,Burkina Faso,2018,0.0014,I
Desalinated water produced,Cabo Verde,1997,0.0017,OF
