,,Year,Value,Symbol
Area waterlogged by irrigation,Bangladesh,2002,770.0,I
Area waterlogged by irrigation,Bangladesh,2007,770.0,I
Area waterlogged by irrigation,Bangladesh,2012,770.0,I
Area waterlogged by irrigation,Bangladesh,2017,770.0,I
Area waterlogged by irrigation,Bangladesh,2018,770.0,I
Area salinized by irrigation,Bolivia (Plurinational State of),2002,21.91,I
Area salinized by irrigation,Bolivia (Plurinational State of),2007,21.91,I
Area salinized by irrigation,Bolivia (Plurinational State of),2012,21.91,I
Area salinized by irrigation,Bolivia (Plurinational State of),2017,21.91,I
Area salinized by irrigation,Bolivia (Plurinational State of),2018,21.91,I
Area salinized by irrigation,Brazil,2002,15.0,I
Area salinized by irrigation,Brazil,2007,15.0,I
Area salinized by irrigation,Brazil,2012,15.0,I
Area salinized by irrigation,Brazil,2017,15.0,I
Area salinized by irrigation,Brazil,2018,15.0,I
Area waterlogged by irrigation,Cabo Verde,1997,0.0,I
Area waterlogged by irrigation,Cabo Verde,2002,0.0,I
Area waterlogged by irrigation,Cabo Verde,2007,0.0,I
Area waterlogged by irrigation,Cabo Verde,2012,0.0,I
Area waterlogged by irrigation,Cabo Verde,2017,0.0,I
Area waterlogged by irrigation,Cabo Verde,2018,0.0,I
Area salinized by irrigation,Chile,1997,33.6,I
Area salinized by irrigation,Chile,2002,33.6,I
Area salinized by irrigation,Chile,2007,33.6,I
Area salinized by irrigation,Chile,2012,33.6,I
Area salinized by irrigation,Chile,2017,33.6,I
Area salinized by irrigation,Chile,2018,33.6,I
Area salinized by irrigation,China,2002,6700.0,I
Area salinized by irrigation,China,2007,6700.0,I
Area salinized by irrigation,China,2012,6700.0,I
Area salinized by irrigation,China,2017,6700.0,I
Area salinized by irrigation,China,2018,6700.0,I
Area salinized by irrigation,Colombia,2002,300.0,I
Area salinized by irrigation,Colombia,2007,300.0,I
Area salinized by irrigation,Colombia,2012,300.0,I
Area salinized by irrigation,Colombia,2017,300.0,I
Area salinized by irrigation,Colombia,2018,300.0,I
Area salinized by irrigation,Cuba,2002,400.0,I
Area salinized by irrigation,Cuba,2007,400.0,I
Area salinized by irrigation,Cuba,2012,400.0,I
Area salinized by irrigation,Cuba,2017,400.0,I
Area salinized by irrigation,Cuba,2018,400.0,I
Area waterlogged by irrigation,Democratic Republic of the Congo,1997,2.0,I
Area waterlogged by irrigation,Democratic Republic of the Congo,2002,2.0,I
Area waterlogged by irrigation,Democratic Republic of the Congo,2007,2.0,I
Area waterlogged by irrigation,Democratic Republic of the Congo,2012,2.0,I
Area waterlogged by irrigation,Democratic Republic of the Congo,2017,2.0,I
Area waterlogged by irrigation,Democratic Republic of the Congo,2018,2.0,I
Area salinized by irrigation,Dominican Republic,2007,50.34,I
Area salinized by irrigation,Dominican Republic,2012,50.34,I
Area salinized by irrigation,Dominican Republic,2017,50.34,I
Area salinized by irrigation,Dominican Republic,2018,50.34,I
Area salinized by irrigation,Egypt,1997,900.0,I
Area salinized by irrigation,Egypt,2002,900.0,I
Area salinized by irrigation,Egypt,2007,900.0,I
Area salinized by irrigation,Egypt,2012,900.0,I
Area salinized by irrigation,Egypt,2017,900.0,I
Area salinized by irrigation,Egypt,2018,900.0,I
Area waterlogged by irrigation,Eswatini,1997,7.46,I
Area waterlogged by irrigation,Eswatini,2002,7.46,I
Area waterlogged by irrigation,Eswatini,2007,7.46,I
Area waterlogged by irrigation,Eswatini,2012,7.46,I
Area waterlogged by irrigation,Eswatini,2017,7.46,I
Area waterlogged by irrigation,Eswatini,2018,7.46,I
Area waterlogged by irrigation,Gambia,1997,0.2077,I
