,,Year,Value,Symbol
Total renewable surface water,Angola,2007,145.4,E
Total renewable surface water,Angola,2012,145.4,E
Total renewable surface water,Angola,2017,145.4,E
Total renewable surface water,Angola,2018,145.4,E
Total renewable groundwater,Angola,1997,58.0,E
Total renewable groundwater,Angola,2002,58.0,E
Total renewable groundwater,Angola,2007,58.0,E
Total renewable groundwater,Angola,2012,58.0,E
Total renewable groundwater,Angola,2017,58.0,E
Total renewable groundwater,Angola,2018,58.0,E
Water resources: total external renewable,Angola,1997,0.4,E
Water resources: total external renewable,Angola,2002,0.4,E
Water resources: total external renewable,Angola,2007,0.4,E
Water resources: total external renewable,Angola,2012,0.4,E
Water resources: total external renewable,Angola,2017,0.4,E
Water resources: total external renewable,Angola,2018,0.4,E
Total renewable water resources,Angola,1997,148.4,E
Total renewable water resources,Angola,2002,148.4,E
Total renewable water resources,Angola,2007,148.4,E
Total renewable water resources,Angola,2012,148.4,E
Total renewable water resources,Angola,2017,148.4,E
Total renewable water resources,Angola,2018,148.4,E
Total renewable water resources per capita,Angola,1997,9978.7715755633,E
Total renewable water resources per capita,Angola,2002,8470.6015046049,E
Total renewable water resources per capita,Angola,2007,7098.6569331516,E
Total renewable water resources per capita,Angola,2012,5910.4830262597,E
Total renewable water resources per capita,Angola,2017,4977.0655878642,E
Total renewable water resources per capita,Angola,2018,4816.6512803221,E
Total internal renewable water resources (IRWR),Antigua and Barbuda,1997,0.052,OF
Total internal renewable water resources (IRWR),Antigua and Barbuda,2002,0.052,OF
Total internal renewable water resources (IRWR),Antigua and Barbuda,2007,0.052,OF
Total internal renewable water resources (IRWR),Antigua and Barbuda,2012,0.052,OF
Total internal renewable water resources (IRWR),Antigua and Barbuda,2017,0.052,OF
Total internal renewable water resources per capita,Antigua and Barbuda,1997,725.2036148611,E
Total internal renewable water resources per capita,Antigua and Barbuda,2002,664.154799157,E
Total internal renewable water resources per capita,Antigua and Barbuda,2007,618.8560683598,E
Total internal renewable water resources per capita,Antigua and Barbuda,2012,575.1639770377,E
Total internal renewable water resources per capita,Antigua and Barbuda,2017,544.9248632448,E
