,,Year,Value,Symbol
Total freshwater withdrawal,Bolivia (Plurinational State of),2007,2.0737474747,E
Total freshwater withdrawal,Bolivia (Plurinational State of),2012,2.088,I
Total freshwater withdrawal,Bolivia (Plurinational State of),2017,2.088,I
Total freshwater withdrawal,Bolivia (Plurinational State of),2018,2.088,I
Fresh surface water withdrawal,Bosnia and Herzegovina,2002,0.0591,OF
Fresh surface water withdrawal,Bosnia and Herzegovina,2007,0.0622,OF
Fresh surface water withdrawal,Bosnia and Herzegovina,2012,0.1332,OF
Fresh surface water withdrawal,Bosnia and Herzegovina,2017,0.1072,OF
Fresh surface water withdrawal,Bosnia and Herzegovina,2018,0.1072,I
Fresh groundwater withdrawal,Bosnia and Herzegovina,2002,0.3164,OF
Fresh groundwater withdrawal,Bosnia and Herzegovina,2007,0.3274,OF
Fresh groundwater withdrawal,Bosnia and Herzegovina,2012,0.3045,OF
Fresh groundwater withdrawal,Bosnia and Herzegovina,2017,0.2937,OF
Fresh groundwater withdrawal,Bosnia and Herzegovina,2018,0.2937,I
Total freshwater withdrawal,Bosnia and Herzegovina,2002,0.3755,OF
Total freshwater withdrawal,Bosnia and Herzegovina,2007,0.3896,OF
Total freshwater withdrawal,Bosnia and Herzegovina,2012,0.4377,OF
Total freshwater withdrawal,Bosnia and Herzegovina,2017,0.4009,OF
Total freshwater withdrawal,Bosnia and Herzegovina,2018,0.4009,I
Fresh surface water withdrawal,Botswana,2002,0.0701636364,I
Fresh surface water withdrawal,Botswana,2007,0.0855727273,I
Fresh surface water withdrawal,Botswana,2012,0.091,OF
Fresh surface water withdrawal,Botswana,2017,0.0761,OF
Fresh surface water withdrawal,Botswana,2018,0.0761,I
Fresh groundwater withdrawal,Botswana,2002,0.1244181818,I
Fresh groundwater withdrawal,Botswana,2007,0.1104636364,I
Fresh groundwater withdrawal,Botswana,2012,0.1034,OF
Fresh groundwater withdrawal,Botswana,2017,0.1169,OF
Fresh groundwater withdrawal,Botswana,2018,0.1169,I
Total freshwater withdrawal,Botswana,1997,0.16364,I
Total freshwater withdrawal,Botswana,2002,0.1945818182,I
Total freshwater withdrawal,Botswana,2007,0.1960363636,I
Total freshwater withdrawal,Botswana,2012,0.1944,E
Total freshwater withdrawal,Botswana,2017,0.193,OF
Total freshwater withdrawal,Botswana,2018,0.193,I
Total freshwater withdrawal,Brazil,1997,55.15,E
Total freshwater withdrawal,Brazil,2002,56.75,E
Total freshwater withdrawal,Brazil,2007,62.22,E
Total freshwater withdrawal,Brazil,2012,69.8605,E
Fresh surface water withdrawal,Brunei Darussalam,1997,0.0915,I
Fresh surface water withdrawal,Brunei Darussalam,2002,0.0915,I
Fresh surface water withdrawal,Brunei Darussalam,2007,0.0915,I
Fresh surface water withdrawal,Brunei Darussalam,2012,0.0915,I
Fresh surface water withdrawal,Brunei Darussalam,2017,0.0915,I
Fresh surface water withdrawal,Brunei Darussalam,2018,0.0915,I
Fresh groundwater withdrawal,Brunei Darussalam,1997,0.0005,I
Fresh groundwater withdrawal,Brunei Darussalam,2002,0.0005,I
Fresh groundwater withdrawal,Brunei Darussalam,2007,0.0005,I
Fresh groundwater withdrawal,Brunei Darussalam,2012,0.0005,I
Fresh groundwater withdrawal,Brunei Darussalam,2017,0.0005,I
Fresh groundwater withdrawal,Brunei Darussalam,2018,0.0005,I
Total freshwater withdrawal,Brunei Darussalam,1997,0.092,I
Total freshwater withdrawal,Brunei Darussalam,2002,0.092,I
Total freshwater withdrawal,Brunei Darussalam,2007,0.092,I
Total freshwater withdrawal,Brunei Darussalam,2012,0.092,I
Total freshwater withdrawal,Brunei Darussalam,2017,0.092,I
Total freshwater withdrawal,Brunei Darussalam,2018,0.092,I
Fresh surface water withdrawal,Bulgaria,2002,5.929,X
Fresh surface water withdrawal,Bulgaria,2007,5.56,X
Fresh surface water withdrawal,Bulgaria,2012,5.149,X
Fresh groundwater withdrawal,Bulgaria,2002,0.6597,X
Fresh groundwater withdrawal,Bulgaria,2007,0.6418,X
Fresh groundwater withdrawal,Bulgaria,2012,0.5656,X
Total freshwater withdrawal,Bulgaria,1997,6.5802,E
Total freshwater withdrawal,Bulgaria,2002,6.5887,E
Total freshwater withdrawal,Bulgaria,2007,6.2018,E
Total freshwater withdrawal,Bulgaria,2012,5.7146,E
Fresh groundwater withdrawal,Burkina Faso,2002,0.011,I
Fresh groundwater withdrawal,Burkina Faso,2007,0.011,I
Fresh groundwater withdrawal,Burkina Faso,2012,0.011,I
Fresh groundwater withdrawal,Burkina Faso,2017,0.011,I
Fresh groundwater withdrawal,Burkina Faso,2018,0.011,I
Total freshwater withdrawal,Burkina Faso,1997,0.4722222222,E
Total freshwater withdrawal,Burkina Faso,2007,0.818,I
Total freshwater withdrawal,Burundi,1997,0.2446153846,I
Total freshwater withdrawal,Burundi,2002,0.28484,E
Total freshwater withdrawal,Burundi,2007,0.2801,E
Total freshwater withdrawal,Burundi,2012,0.2801,E
Total freshwater withdrawal,Burundi,2017,0.2801,E
Total freshwater withdrawal,Burundi,2018,0.2801,E
Total freshwater withdrawal,Cabo Verde,2002,0.0228,E
Total freshwater withdrawal,Cabo Verde,2007,0.0253,E
Total freshwater withdrawal,Cabo Verde,2012,0.0253,E
Total freshwater withdrawal,Cabo Verde,2017,0.0253,E
Total freshwater withdrawal,Cabo Verde,2018,0.0253,E
Total freshwater withdrawal,Cambodia,2007,2.184,I
Total freshwater withdrawal,Cambodia,2012,2.184,I
Total freshwater withdrawal,Cambodia,2017,2.184,I
Total freshwater withdrawal,Cambodia,2018,2.184,I
Total freshwater withdrawal,Cameroon,1997,0.754,I
Total freshwater withdrawal,Cameroon,2002,1.0152,E
Total freshwater withdrawal,Cameroon,2007,1.0884,E
Total freshwater withdrawal,Cameroon,2012,1.0884,E
Total freshwater withdrawal,Cameroon,2017,1.0884,E
Total freshwater withdrawal,Cameroon,2018,1.0884,E
Fresh surface water withdrawal,Canada,1997,40.2623557453,I
Fresh surface water withdrawal,Canada,2002,39.8741344716,I
Fresh surface water withdrawal,Canada,2007,39.485913198,I
Fresh surface water withdrawal,Canada,2012,34.824799223,I
Fresh surface water withdrawal,Canada,2017,34.0220321717,I
Fresh surface water withdrawal,Canada,2018,34.0220321717,I
Fresh groundwater withdrawal,Canada,1997,1.8673988002,I
Fresh groundwater withdrawal,Canada,2002,1.8493928011,I
Fresh groundwater withdrawal,Canada,2007,1.831386802,I
Fresh groundwater withdrawal,Canada,2012,1.615200777,I
Fresh groundwater withdrawal,Canada,2017,1.5779678283,I
Fresh groundwater withdrawal,Canada,2018,1.5779678283,I
Total freshwater withdrawal,Canada,1997,42.1297545455,I
Total freshwater withdrawal,Canada,2002,41.7235272727,I
Total freshwater withdrawal,Canada,2007,41.3173,E
Total freshwater withdrawal,Canada,2012,36.44,I
Total freshwater withdrawal,Canada,2018,35.6,I
Total freshwater withdrawal,Central African Republic,1997,0.0554,I
Total freshwater withdrawal,Central African Republic,2002,0.06872,I
Total freshwater withdrawal,Central African Republic,2007,0.0725,I
Total freshwater withdrawal,Central African Republic,2012,0.0725,I
Total freshwater withdrawal,Central African Republic,2017,0.0725,I
Total freshwater withdrawal,Central African Republic,2018,0.0725,I
Total freshwater withdrawal,Chad,1997,0.6412358974,E
Total freshwater withdrawal,Chad,2002,0.86136,E
Total freshwater withdrawal,Chad,2007,0.8796,I
Total freshwater withdrawal,Chad,2012,0.8796,I
Total freshwater withdrawal,Chad,2017,0.8796,I
Total freshwater withdrawal,Chad,2018,0.8796,I
Fresh surface water withdrawal,Chile,2007,38.1188888889,I
Fresh surface water withdrawal,Chile,2012,65.7633333333,I
Fresh surface water withdrawal,Chile,2017,82.35,I
Fresh surface water withdrawal,Chile,2018,82.35,I
Fresh groundwater withdrawal,Chile,2007,2.778,I
Fresh groundwater withdrawal,Chile,2012,2.778,I
Fresh groundwater withdrawal,Chile,2017,2.778,I
Fresh groundwater withdrawal,Chile,2018,2.778,I
Total freshwater withdrawal,Chile,1997,25.6923428571,E
Total freshwater withdrawal,Chile,2002,31.0895357143,E
Total freshwater withdrawal,Chile,2007,40.8968888889,E
Total freshwater withdrawal,Chile,2012,68.5413333333,E
Total freshwater withdrawal,Chile,2017,85.128,E
Total freshwater withdrawal,Chile,2018,85.128,E
Fresh surface water withdrawal,China,1997,441.6,I
Fresh surface water withdrawal,China,2002,447.48,I
Fresh surface water withdrawal,China,2017,484.9,I
Fresh surface water withdrawal,China,2018,484.9,I
Fresh groundwater withdrawal,China,1997,98.3714285714,I
Fresh groundwater withdrawal,China,2002,104.7,I
Fresh groundwater withdrawal,China,2007,106.9,OF
Fresh groundwater withdrawal,China,2012,113.4,OF
Fresh groundwater withdrawal,China,2017,106.9,I
Fresh groundwater withdrawal,China,2018,106.9,I
Total freshwater withdrawal,China,1997,539.9714285714,I
Total freshwater withdrawal,China,2002,552.18,I
Total freshwater withdrawal,China,2007,568.7,E
Total freshwater withdrawal,China,2012,598.8,E
Total freshwater withdrawal,China,2017,591.8,I
