"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Algeria",12,"Surface water: inflow submitted to treaties",4161,1962,0.0,"","","771"
"Algeria",12,"Surface water: inflow submitted to treaties",4161,1967,0.0,"","","771"
"Algeria",12,"Surface water: inflow submitted to treaties",4161,1972,0.0,"","","771"
"Algeria",12,"Surface water: inflow submitted to treaties",4161,1977,0.0,"","","771"
"Algeria",12,"Surface water: inflow submitted to treaties",4161,1982,0.0,"","","771"
"Algeria",12,"Surface water: inflow submitted to treaties",4161,1987,0.0,"","","771"
"Algeria",12,"Surface water: inflow submitted to treaties",4161,1992,0.0,"","","771"
"Algeria",12,"Surface water: inflow submitted to treaties",4161,1997,0.0,"","","771"
"Algeria",12,"Surface water: inflow submitted to treaties",4161,2002,0.0,"","","771"
"Algeria",12,"Surface water: inflow submitted to treaties",4161,2007,0.0,"","","771"
"Algeria",12,"Surface water: inflow submitted to treaties",4161,2012,0.0,"","","771"
"Algeria",12,"Surface water: inflow submitted to treaties",4161,2017,0.0,"","","6433"
"Algeria",12,"Surface water: inflow secured through treaties",4162,1962,0.0,"","","771"
"Algeria",12,"Surface water: inflow secured through treaties",4162,1967,0.0,"","","771"
"Algeria",12,"Surface water: inflow secured through treaties",4162,1972,0.0,"","","771"
"Algeria",12,"Surface water: inflow secured through treaties",4162,1977,0.0,"","","771"
"Algeria",12,"Surface water: inflow secured through treaties",4162,1982,0.0,"","","771"
"Algeria",12,"Surface water: inflow secured through treaties",4162,1987,0.0,"","","771"
"Algeria",12,"Surface water: inflow secured through treaties",4162,1992,0.0,"","","771"
"Algeria",12,"Surface water: inflow secured through treaties",4162,1997,0.0,"","","771"
"Algeria",12,"Surface water: inflow secured through treaties",4162,2002,0.0,"","","771"
"Algeria",12,"Surface water: inflow secured through treaties",4162,2007,0.0,"","","771"
"Algeria",12,"Surface water: inflow secured through treaties",4162,2012,0.0,"","","771"
"Algeria",12,"Surface water: inflow secured through treaties",4162,2017,0.0,"","","6433"
"Algeria",12,"Surface water: total flow of border rivers",4165,1962,0.0,"","","771"
"Algeria",12,"Surface water: total flow of border rivers",4165,1967,0.0,"","","771"
"Algeria",12,"Surface water: total flow of border rivers",4165,1972,0.0,"","","771"
"Algeria",12,"Surface water: total flow of border rivers",4165,1977,0.0,"","","771"
"Algeria",12,"Surface water: total flow of border rivers",4165,1982,0.0,"","","771"
"Algeria",12,"Surface water: total flow of border rivers",4165,1987,0.0,"","","771"
"Algeria",12,"Surface water: total flow of border rivers",4165,1992,0.0,"","","771"
"Algeria",12,"Surface water: total flow of border rivers",4165,1997,0.0,"","","771"
"Algeria",12,"Surface water: total flow of border rivers",4165,2002,0.0,"","","771"
"Algeria",12,"Surface water: total flow of border rivers",4165,2007,0.0,"","","771"
"Algeria",12,"Surface water: total flow of border rivers",4165,2012,0.0,"","","771"
"Algeria",12,"Surface water: total flow of border rivers",4165,2017,0.0,"","","6433"
"Algeria",12,"Surface water: accounted flow of border rivers",4168,1962,0.0,"","","771"
"Algeria",12,"Surface water: accounted flow of border rivers",4168,1967,0.0,"","","771"
"Algeria",12,"Surface water: accounted flow of border rivers",4168,1972,0.0,"","","771"
"Algeria",12,"Surface water: accounted flow of border rivers",4168,1977,0.0,"","","771"
"Algeria",12,"Surface water: accounted flow of border rivers",4168,1982,0.0,"","","771"
"Algeria",12,"Surface water: accounted flow of border rivers",4168,1987,0.0,"","","771"
"Algeria",12,"Surface water: accounted flow of border rivers",4168,1992,0.0,"","","771"
"Algeria",12,"Surface water: accounted flow of border rivers",4168,1997,0.0,"","","771"
"Algeria",12,"Surface water: accounted flow of border rivers",4168,2002,0.0,"","","771"
"Algeria",12,"Surface water: accounted flow of border rivers",4168,2007,0.0,"","","771"
"Algeria",12,"Surface water: accounted flow of border rivers",4168,2012,0.0,"","","771"
"Algeria",12,"Surface water: accounted flow of border rivers",4168,2017,0.0,"","","6433"
"Algeria",12,"Surface water: accounted inflow",4164,1962,0.39,"E","","0"
"Algeria",12,"Surface water: accounted inflow",4164,1967,0.39,"E","","0"
"Algeria",12,"Surface water: accounted inflow",4164,1972,0.39,"E","","0"
"Algeria",12,"Surface water: accounted inflow",4164,1977,0.39,"E","","0"
"Algeria",12,"Surface water: accounted inflow",4164,1982,0.39,"E","","0"
"Algeria",12,"Surface water: accounted inflow",4164,1987,0.39,"E","","0"
"Algeria",12,"Surface water: accounted inflow",4164,1992,0.39,"E","","0"
"Algeria",12,"Surface water: accounted inflow",4164,1997,0.39,"E","","0"
"Algeria",12,"Surface water: accounted inflow",4164,2002,0.39,"E","","0"
"Algeria",12,"Surface water: accounted inflow",4164,2007,0.39,"E","","0"
"Algeria",12,"Surface water: accounted inflow",4164,2012,0.39,"E","","0"
"Algeria",12,"Surface water: accounted inflow",4164,2017,0.39,"E","","0"
"Algeria",12,"Surface water: accounted inflow",4164,2018,0.39,"E","","0"
"Algeria",12,"Surface water: leaving the country to other countries (total)",4171,1962,0.32,"","","1503"
"Algeria",12,"Surface water: leaving the country to other countries (total)",4171,1967,0.32,"","","1503"
"Algeria",12,"Surface water: leaving the country to other countries (total)",4171,1972,0.32,"","","1503"
"Algeria",12,"Surface water: leaving the country to other countries (total)",4171,1977,0.32,"","","1503"
"Algeria",12,"Surface water: leaving the country to other countries (total)",4171,1982,0.32,"","","1503"
"Algeria",12,"Surface water: leaving the country to other countries (total)",4171,1987,0.32,"","","1503"
"Algeria",12,"Surface water: leaving the country to other countries (total)",4171,1992,0.32,"","","1503"
"Algeria",12,"Surface water: leaving the country to other countries (total)",4171,1997,0.32,"","","1503"
"Algeria",12,"Surface water: leaving the country to other countries (total)",4171,2002,0.32,"","","1503"
