,,Value,Symbol
Total internal renewable water resources per capita,Guinea-Bissau,8752.0410033121,E
Total renewable surface water,Guinea-Bissau,27.4,E
Total renewable groundwater,Guinea-Bissau,14.0,E
Total exploitable water resources,Guinea-Bissau,0.35,E
Water resources: total external renewable,Guinea-Bissau,15.4,E
Total renewable water resources,Guinea-Bissau,31.4,E
Total renewable water resources per capita,Guinea-Bissau,17175.880469,E
Total internal renewable water resources (IRWR),Guyana,241.0,E
Total internal renewable water resources per capita,Guyana,310878.690233249,E
Total renewable surface water,Guyana,271.0,E
Total renewable groundwater,Guyana,103.0,E
Water resources: total external renewable,Guyana,30.0,E
Total renewable water resources,Guyana,271.0,E
Total renewable water resources per capita,Guyana,349577.282378467,E
Total internal renewable water resources (IRWR),Haiti,13.007,E
Total internal renewable water resources per capita,Haiti,1184.3531712565,E
Total renewable surface water,Haiti,11.865,E
Total renewable groundwater,Haiti,2.157,E
Water resources: total external renewable,Haiti,1.015,E
Total renewable water resources,Haiti,14.022,E
Total renewable water resources per capita,Haiti,1276.774057612,E
Total renewable surface water,Holy See,0.0,E
Water resources: total external renewable,Holy See,0.0,E
Total renewable water resources,Holy See,0.0,E
Total renewable water resources per capita,Holy See,0.0,E
Total internal renewable water resources (IRWR),Honduras,90.66,E
Total internal renewable water resources per capita,Honduras,9615.0042427558,E
Total renewable surface water,Honduras,83.074,E
Total renewable groundwater,Honduras,39.0,E
Water resources: total external renewable,Honduras,1.504,E
Total renewable water resources,Honduras,92.164,E
Total renewable water resources per capita,Honduras,9774.5119239946,E
Total internal renewable water resources (IRWR),Hungary,6.0,E
Total internal renewable water resources per capita,Hungary,616.6607552881,E
Total renewable surface water,Hungary,104.0,E
Total renewable groundwater,Hungary,6.0,E
Water resources: total external renewable,Hungary,98.0,E
Total renewable water resources,Hungary,104.0,E
Total renewable water resources per capita,Hungary,10688.7864249946,E
Total internal renewable water resources (IRWR),Iceland,170.0,E
Total internal renewable water resources per capita,Iceland,508383.847748009,E
Total renewable surface water,Iceland,166.0,E
Total renewable groundwater,Iceland,24.0,E
Total exploitable water resources,Iceland,6.0,E
Water resources: total external renewable,Iceland,0.0,E
Total renewable water resources,Iceland,170.0,E
Total renewable water resources per capita,Iceland,508383.847748009,E
Total internal renewable water resources (IRWR),India,1446.0,E
Total internal renewable water resources per capita,India,1080.1711183779,E
Total renewable surface water,India,1868.9,E
