,,Value,Symbol
Produced municipal wastewater,Libya,0.5201538462,I
Not treated municipal wastewater,Libya,0.506,I
Treated municipal wastewater,Libya,0.04,I
Direct use of treated municipal wastewater,Lithuania,0.0049714286,I
Treated municipal wastewater,Lithuania,0.1208428571,I
Treated municipal wastewater discharged (secondary water),Lithuania,0.1158714286,I
Produced municipal wastewater,Luxembourg,0.0208,I
Collected municipal wastewater,Luxembourg,0.0396666667,I
Treated municipal wastewater,Luxembourg,0.0396666667,I
Treated municipal wastewater discharged (secondary water),Luxembourg,0.0396666667,I
Desalinated water produced,Malaysia,0.0043,I
Desalinated water produced,Maldives,0.0012,I
Produced municipal wastewater,Maldives,0.0037,I
Desalinated water produced,Malta,0.0189,I
Direct use of treated municipal wastewater,Malta,0.00313,I
Treated municipal wastewater,Malta,0.0149333333,I
Treated municipal wastewater discharged (secondary water),Malta,0.0,I
Desalinated water produced,Marshall Islands,0.0007,I
Desalinated water produced,Mauritania,0.002,I
Treated municipal wastewater,Mauritania,0.0007,I
Treated municipal wastewater,Mauritius,0.0335,I
Desalinated water produced,Mexico,0.0191,E
Direct use of treated municipal wastewater,Mexico,0.586,I
Produced municipal wastewater,Mexico,7.389375,I
Collected municipal wastewater,Mexico,6.528,OF
Not treated municipal wastewater,Mexico,4.893125,I
Treated municipal wastewater,Mexico,2.48,OF
Treated municipal wastewater discharged (secondary water),Mexico,2.1215,I
Not treated municipal wastewater discharged (secondary water),Mexico,6.8,I
Direct use of not treated municipal wastewater for irrigation purposes,Mexico,4.33,I
Desalinated water produced,Mongolia,0.0,I
Produced municipal wastewater,Mongolia,0.136,I
Not treated municipal wastewater,Mongolia,0.08,I
Treated municipal wastewater,Mongolia,0.12,I
Not treated municipal wastewater discharged (secondary water),Mongolia,0.08,I
Produced municipal wastewater,Montenegro,0.0343333333,I
Not treated municipal wastewater,Montenegro,0.0216666667,I
Treated municipal wastewater,Montenegro,0.0126666667,I
Desalinated water produced,Morocco,0.0055,I
Produced municipal wastewater,Morocco,0.6438125,I
Not treated municipal wastewater,Morocco,0.4897,I
Treated municipal wastewater,Morocco,0.124,I
Not treated municipal wastewater discharged (secondary water),Morocco,0.25,I
Direct use of not treated municipal wastewater for irrigation purposes,Morocco,0.0368571429,I
Treated municipal wastewater,Mozambique,0.0,I
Treated municipal wastewater,Myanmar,0.0,I
Desalinated water produced,Namibia,0.0003,I
Direct use of treated municipal wastewater,Namibia,0.0058,I
Treated municipal wastewater,Namibia,0.006,I
Treated municipal wastewater discharged (secondary water),Namibia,0.0002,I
Treated municipal wastewater,Nepal,0.006,I
Produced municipal wastewater,Netherlands,1.8893157895,I
Collected municipal wastewater,Netherlands,1.8695294118,I
Not treated municipal wastewater,Netherlands,0.0431666667,I
Treated municipal wastewater,Netherlands,1.838,I
Treated municipal wastewater discharged (secondary water),Netherlands,1.831,I
Desalinated water produced,Nicaragua,0.0002,I
Direct use of treated municipal wastewater,Nicaragua,0.0011,I
Produced municipal wastewater,Nicaragua,0.2842833333,I
Not treated municipal wastewater,Nicaragua,0.18185,I
Treated municipal wastewater,Nicaragua,0.0981375,I
Treated municipal wastewater discharged (secondary water),Nicaragua,0.0056,I
Desalinated water produced,Nigeria,0.003,I
Desalinated water produced,Norway,0.0001,I
Desalinated water produced,Oman,0.123375,I
Direct use of treated municipal wastewater,Oman,0.0514545455,I
Produced municipal wastewater,Oman,0.0974117647,I
Not treated municipal wastewater,Oman,0.0802,I
Treated municipal wastewater,Oman,0.03,I
Produced municipal wastewater,Pakistan,2.554,I
Not treated municipal wastewater,Pakistan,1.022,I
Treated municipal wastewater,Pakistan,0.0306,I
Direct use of not treated municipal wastewater for irrigation purposes,Pakistan,1.022,I
Produced municipal wastewater,Panama,0.394,I
Produced municipal wastewater,Paraguay,0.2048,I
Desalinated water produced,Peru,0.0054,I
Direct use of treated municipal wastewater,Peru,0.0281666667,I
Treated municipal wastewater,Peru,0.2024818182,I
Treated municipal wastewater discharged (secondary water),Peru,0.0862636364,I
Desalinated water produced,Poland,0.007,E
Direct use of treated municipal wastewater,Poland,0.003,I
Desalinated water produced,Portugal,0.0016,E
Direct use of treated municipal wastewater,Portugal,0.003,I
Desalinated water produced,Qatar,0.2483,I
Direct use of treated municipal wastewater,Qatar,0.047,OF
Produced municipal wastewater,Qatar,0.201,I
Treated municipal wastewater,Qatar,0.075,OF
Treated municipal wastewater discharged (secondary water),Qatar,0.028,OF
Desalinated water produced,Republic of Korea,0.0002,I
Direct use of treated municipal wastewater,Republic of Korea,0.4427818182,I
Produced municipal wastewater,Republic of Korea,7.1474545455,I
Treated municipal wastewater,Republic of Korea,5.9422,I
Treated municipal wastewater,Republic of Moldova,0.296,I
Produced municipal wastewater,Republic of Serbia,0.505,OF
Produced municipal wastewater,Romania,4.924,
Desalinated water produced,Saint Kitts and Nevis,0.0033,I
Desalinated water produced,Saudi Arabia,1.1183333333,I
Direct use of treated municipal wastewater,Saudi Arabia,0.6454375,I
Produced municipal wastewater,Saudi Arabia,1.3357,I
Not treated municipal wastewater,Saudi Arabia,0.3894,I
Treated municipal wastewater,Saudi Arabia,0.8962857143,I
Treated municipal wastewater discharged (secondary water),Saudi Arabia,0.0498,I
Desalinated water produced,Senegal,5e-05,I
Treated municipal wastewater,Senegal,0.00576,I
Desalinated water produced,Seychelles,0.001,I
Direct use of treated municipal wastewater,Seychelles,6e-06,I
Produced municipal wastewater,Seychelles,0.0088,I
Desalinated water produced,Singapore,0.0072,I
Direct use of treated municipal wastewater,Singapore,0.092,OF
Not treated municipal wastewater,Slovenia,0.038,OF
Treated municipal wastewater,Slovenia,0.114,
Desalinated water produced,Somalia,0.0001,I
Treated municipal wastewater,Somalia,0.0,I
Desalinated water produced,South Africa,0.018,I
Direct use of treated municipal wastewater,South Africa,1.2613333333,I
Produced municipal wastewater,South Africa,3.466,I
Not treated municipal wastewater,South Africa,1.7432222222,I
Treated municipal wastewater,South Africa,2.04575,I
Treated municipal wastewater discharged (secondary water),South Africa,0.4614444444,I
Desalinated water produced,Spain,0.1002,I
Direct use of treated municipal wastewater,Spain,0.50025,I
Produced municipal wastewater,Spain,3.9081,I
Not treated municipal wastewater,Spain,0.023,I
Treated municipal wastewater,Spain,3.6946,I
Treated municipal wastewater discharged (secondary water),Spain,2.767,I
Produced municipal wastewater,Sri Lanka,0.1467375,I
Direct use of treated municipal wastewater,State of Palestine,0.00565,I
Desalinated water produced,Sweden,0.0002,E
Produced municipal wastewater,Switzerland,1.3577272727,I
Direct use of treated municipal wastewater,Syrian Arab Republic,0.37,I
Produced municipal wastewater,Syrian Arab Republic,1.1031111111,I
Not treated municipal wastewater,Syrian Arab Republic,0.7051111111,I
Treated municipal wastewater,Syrian Arab Republic,0.398,I
Desalinated water produced,Tajikistan,0.0,I
Direct use of treated municipal wastewater,Tajikistan,0.0,I
Produced municipal wastewater,Tajikistan,3.7657142857,I
Not treated municipal wastewater,Tajikistan,4.548,I
Treated municipal wastewater,Tajikistan,0.1656571429,I
Treated municipal wastewater discharged (secondary water),Tajikistan,0.1522,I
Produced municipal wastewater,Thailand,5.1044444444,I
Treated municipal wastewater,Thailand,0.9025454545,I
Desalinated water produced,Trinidad and Tobago,0.0396666667,I
