,,Value,Symbol
Fresh groundwater withdrawal,Niger,1.0128382222,I
Total freshwater withdrawal,Niger,1.1009111111,I
Total freshwater withdrawal,Nigeria,11.9314,E
Fresh surface water withdrawal,North Macedonia,0.4349,X
Fresh groundwater withdrawal,North Macedonia,0.1163,X
Total freshwater withdrawal,North Macedonia,0.5512,E
Total freshwater withdrawal,Norway,3.026,E
Fresh surface water withdrawal,Oman,0.0408,I
Fresh groundwater withdrawal,Oman,1.3244,I
Total freshwater withdrawal,Oman,1.3652,I
Total freshwater withdrawal,Pakistan,181.94625,E
Total freshwater withdrawal,Papua New Guinea,0.3921,I
Total freshwater withdrawal,Paraguay,1.6588939394,E
Fresh surface water withdrawal,Philippines,78.5725156547,I
Fresh groundwater withdrawal,Philippines,2.9234843453,I
Total freshwater withdrawal,Philippines,81.496,E
Fresh groundwater withdrawal,Poland,2.671,X
Fresh groundwater withdrawal,Portugal,4.794,X
Fresh surface water withdrawal,Puerto Rico,0.81484,I
Fresh groundwater withdrawal,Puerto Rico,0.19088,I
Total freshwater withdrawal,Puerto Rico,1.00584,I
Fresh surface water withdrawal,Qatar,0.0,I
Fresh groundwater withdrawal,Qatar,0.2253,I
Total freshwater withdrawal,Qatar,0.2253,I
Fresh surface water withdrawal,Republic of Korea,25.48,I
Fresh groundwater withdrawal,Republic of Korea,3.717,I
Total freshwater withdrawal,Republic of Korea,29.197,I
Fresh surface water withdrawal,Republic of Moldova,0.718,I
Fresh groundwater withdrawal,Republic of Moldova,0.136,I
Total freshwater withdrawal,Republic of Moldova,0.854,OF
Fresh surface water withdrawal,Republic of Serbia,3.426,X
Fresh groundwater withdrawal,Republic of Serbia,0.5318,X
Total freshwater withdrawal,Republic of Serbia,3.9578,E
Fresh surface water withdrawal,Romania,6.24,X
Fresh groundwater withdrawal,Romania,0.644,X
Total freshwater withdrawal,Romania,6.884,E
Total freshwater withdrawal,Russian Federation,63.6,E
Total freshwater withdrawal,Rwanda,0.1839,E
Total freshwater withdrawal,Saint Lucia,0.0429,E
Fresh surface water withdrawal,Saint Vincent and the Grenadines,0.0091,I
Fresh groundwater withdrawal,Saint Vincent and the Grenadines,0.0,I
Total freshwater withdrawal,Saint Vincent and the Grenadines,0.0091,I
Total freshwater withdrawal,Sao Tome and Principe,0.0276347826,I
Fresh surface water withdrawal,Saudi Arabia,0.9508333333,I
Fresh groundwater withdrawal,Saudi Arabia,21.51625,I
Total freshwater withdrawal,Saudi Arabia,22.4670833333,E
Total freshwater withdrawal,Senegal,2.22095,I
Fresh surface water withdrawal,Seychelles,0.0110092773,I
Fresh groundwater withdrawal,Seychelles,0.0002847227,I
Total freshwater withdrawal,Seychelles,0.011294,I
Total freshwater withdrawal,Sierra Leone,0.2122,I
Total freshwater withdrawal,Singapore,1.890368,E
Fresh surface water withdrawal,Slovakia,0.3295,X
Fresh groundwater withdrawal,Slovakia,0.3584,X
Total freshwater withdrawal,Slovakia,0.6879,E
Fresh surface water withdrawal,Slovenia,0.7449,X
Fresh groundwater withdrawal,Slovenia,0.1905,X
Total freshwater withdrawal,Slovenia,0.9354,E
Fresh surface water withdrawal,Somalia,3.167,I
Fresh groundwater withdrawal,Somalia,0.131,I
Total freshwater withdrawal,Somalia,3.298,I
Fresh groundwater withdrawal,South Africa,1.539,I
Fresh groundwater withdrawal,Spain,6.496,X
Total freshwater withdrawal,Spain,34.976,E
Total freshwater withdrawal,Sri Lanka,12.946,I
Fresh surface water withdrawal,Suriname,0.5666,I
Fresh groundwater withdrawal,Suriname,0.0493,I
Total freshwater withdrawal,Suriname,0.6159,I
Fresh surface water withdrawal,Sweden,2.284,X
Fresh groundwater withdrawal,Sweden,0.346,X
Total freshwater withdrawal,Sweden,2.63,E
Fresh surface water withdrawal,Switzerland,1.3255980904,I
Fresh groundwater withdrawal,Switzerland,0.9356519096,I
Total freshwater withdrawal,Syrian Arab Republic,14.1444,E
Fresh surface water withdrawal,Tajikistan,9.0971981481,I
Fresh groundwater withdrawal,Tajikistan,2.0114907407,I
Total freshwater withdrawal,Tajikistan,11.1086888889,I
Fresh surface water withdrawal,Thailand,47.48,E
Fresh groundwater withdrawal,Thailand,9.827,OF
Total freshwater withdrawal,Thailand,57.307,E
Total freshwater withdrawal,Timor-Leste,1.172,I
Total freshwater withdrawal,Togo,0.223,E
